time,gti,temp_air,wind_speed,humidity,precipitation,pm10,power
2023-01-01 00:00:00,0.0,-1.71,0.59,92.2,0.0,12.5,0.0
2023-01-01 01:00:00,0.0,-0.24,5.37,100.0,0.0,17.2,0.0
2023-01-01 02:00:00,0.0,-1.1,2.24,95.5,0.0,13.9,0.0
2023-01-01 03:00:00,0.0,-0.97,1.66,100.0,0.0,19.3,0.0
2023-01-01 04:00:00,0.0,-2.15,2.97,100.0,1.88,19.8,0.0
2023-01-01 05:00:00,0.0,-2.61,3.14,100.0,0.0,7.3,0.0
2023-01-01 06:00:00,0.0,-1.15,4.92,93.9,0.0,16.0,0.0
2023-01-01 07:00:00,68.4,-0.74,0.98,100.0,0.0,20.2,3.036
2023-01-01 08:00:00,66.5,3.31,0.59,94.3,0.0,18.4,2.968
2023-01-01 09:00:00,139.5,3.9,2.98,92.6,0.0,5.1,6.442
2023-01-01 10:00:00,157.0,3.56,2.85,95.3,0.0,21.7,7.064
2023-01-01 11:00:00,282.3,3.51,4.86,94.1,0.0,8.4,13.227
2023-01-01 12:00:00,235.8,8.25,1.52,82.1,0.0,7.0,10.597
2023-01-01 13:00:00,262.2,6.94,1.28,96.0,0.0,7.4,11.739
2023-01-01 14:00:00,169.6,7.04,2.92,98.8,0.0,16.4,7.976
2023-01-01 15:00:00,108.0,9.73,2.33,85.5,0.0,10.3,5.029
2023-01-01 16:00:00,109.0,6.47,3.37,93.7,0.0,11.1,5.023
2023-01-01 17:00:00,31.1,6.25,1.21,79.6,0.0,11.9,1.357
2023-01-01 18:00:00,0.0,5.59,5.34,92.6,0.0,18.9,0.0
2023-01-01 19:00:00,0.0,2.93,2.78,100.0,0.0,17.0,0.0
2023-01-01 20:00:00,0.0,4.17,4.78,99.2,1.57,8.9,0.0
2023-01-01 21:00:00,0.0,1.26,1.97,98.8,0.0,11.1,0.0
2023-01-01 22:00:00,0.0,0.25,1.15,98.8,0.0,7.8,0.0
2023-01-01 23:00:00,0.0,-1.16,3.05,99.0,0.0,11.3,0.0
2023-01-02 00:00:00,0.0,-2.06,3.69,100.0,0.0,16.0,0.0
2023-01-02 01:00:00,0.0,-3.23,0.5,100.0,0.0,13.1,0.0
2023-01-02 02:00:00,0.0,-2.1,7.73,98.9,0.0,9.7,0.0
2023-01-02 03:00:00,0.0,-2.88,1.27,100.0,0.0,17.8,0.0
2023-01-02 04:00:00,0.0,-2.4,2.52,97.4,0.0,14.4,0.0
2023-01-02 05:00:00,0.0,1.55,3.54,94.9,0.0,10.5,0.0
2023-01-02 06:00:00,0.0,-1.42,2.32,94.4,0.0,20.3,0.0
2023-01-02 07:00:00,78.1,0.76,2.43,99.4,0.0,15.6,3.466
2023-01-02 08:00:00,86.5,2.14,2.48,97.3,0.0,14.0,4.023
2023-01-02 09:00:00,128.7,2.26,0.32,99.1,0.0,16.0,5.488
2023-01-02 10:00:00,174.8,4.06,2.6,96.4,0.0,8.4,8.016
2023-01-02 11:00:00,140.8,4.88,1.49,97.9,0.0,8.3,6.75
2023-01-02 12:00:00,133.8,6.19,4.71,100.0,0.0,11.2,6.047
2023-01-02 13:00:00,196.2,5.8,4.14,96.8,0.0,17.7,8.697
2023-01-02 14:00:00,132.7,6.44,0.62,79.8,0.0,11.7,5.862
2023-01-02 15:00:00,171.1,7.38,0.59,89.1,0.0,12.7,7.394
2023-01-02 16:00:00,97.7,4.23,7.95,94.1,0.0,22.2,4.732
2023-01-02 17:00:00,71.1,8.93,0.2,79.2,0.0,7.8,3.034
2023-01-02 18:00:00,0.0,9.13,1.32,93.4,0.0,17.8,0.0
2023-01-02 19:00:00,0.0,5.11,0.79,100.0,8.31,9.6,0.0
2023-01-02 20:00:00,0.0,4.65,5.23,88.6,0.0,18.0,0.0
2023-01-02 21:00:00,0.0,3.98,2.04,100.0,0.0,11.3,0.0
2023-01-02 22:00:00,0.0,-0.93,1.26,100.0,0.0,13.7,0.0
2023-01-02 23:00:00,0.0,1.25,2.36,99.5,0.0,10.7,0.0
2023-01-03 00:00:00,0.0,-1.87,7.5,100.0,0.0,8.8,0.0
